,City Name,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
82,Teya,60.38,92.63,-6.5,86,5.21,100
83,Mildura,-34.2,142.15,66.6,77,3.36,70
84,Mattru,7.62,-11.83,76.66,92,3.0,100
85,Butaritari,3.07,172.79,80.8,81,19.42,100
86,Laas,46.62,10.7,36.82,74,2.46,75
87,Mlonggo,-6.53,110.7,78.39,85,3.29,100
88,Arlit,18.74,7.39,73.96,18,4.85,0
89,Wanaka,-44.7,169.15,60.01,69,2.82,82
90,Alappuzha,9.49,76.33,78.42,77,3.85,0
91,Dalmau,26.07,81.03,58.86,39,8.72,0
92,Puerto Ayora,-0.74,-90.35,75.09,73,16.11,40
93,Trofors,65.53,13.41,28.2,92,1.12,75
94,Warwick,41.7,-71.42,26.44,53,13.87,75
95,Chokurdakh,70.63,147.92,-3.08,93,8.99,100
96,Sitka,57.05,-135.33,39.2,93,4.7,90
97,Ivanivka,46.72,34.55,34.03,89,3.78,82
98,Bitung,1.45,125.18,75.2,94,3.36,40
99,Longyearbyen,78.22,15.64,5.0,65,8.05,0
100,Nioro,13.35,-15.75,84.76,17,6.11,22
101,Leningradskiy,69.38,178.42,16.56,95,28.21,100
102,Pontes e Lacerda,-15.23,-59.34,95.25,38,6.82,99
103,Belomorsk,64.52,34.77,29.55,99,1.97,100
104,La Ronge,55.1,-105.28,1.4,77,6.93,100
105,Padang,-0.95,100.35,76.19,83,4.56,100
106,Torbay,47.67,-52.73,30.04,68,32.21,75
107,Port Blair,11.67,92.75,80.74,83,9.1,100
108,Perry,37.25,-83.2,39.2,93,3.38,90
109,Mujiayingzi,42.12,118.78,3.67,85,8.97,0
110,Atuona,-9.8,-139.03,78.96,76,20.71,1
111,Hasaki,35.73,140.83,27.59,68,4.7,20
112,Biak,-0.91,122.88,78.57,75,4.41,95
113,Mauriti,-7.39,-38.77,94.28,32,1.12,80
114,Qaanaaq,77.48,-69.36,3.52,69,4.68,0
115,Verkh-Usugli,52.7,115.17,-4.56,88,4.45,0
116,Loandjili,-4.76,11.86,78.8,88,9.17,75
117,Fort Nelson,58.81,-122.7,-2.2,77,6.93,90
118,Verkhnevilyuysk,63.45,120.32,-24.48,86,3.18,100
119,Mossamedes,-15.2,12.15,67.37,81,3.13,100
120,Panjāb,34.39,67.02,2.79,40,1.81,0
121,Gyöngyöspata,47.81,19.79,38.23,100,4.7,90
122,Zhigansk,66.77,123.37,-39.23,80,5.01,24
123,Arraial do Cabo,-22.97,-42.03,84.72,74,13.87,0
124,Garoowe,8.41,48.48,73.31,62,17.98,3
125,Qinzhou,21.95,108.62,48.45,55,12.62,100
126,Natá,8.33,-80.52,89.6,55,8.05,40
127,Shubarkuduk,49.14,56.49,18.14,92,16.15,100
128,Gigmoto,13.78,124.39,79.88,82,13.42,62
129,Ilulissat,69.22,-51.1,24.8,41,20.8,20
130,Farafangana,-22.82,47.83,76.64,91,9.44,12
131,Sola,-13.88,167.55,80.6,94,12.77,75
132,Roald,62.58,6.13,40.21,80,5.82,75
133,Oytal,42.91,73.27,13.82,80,3.49,0
134,Dikson,73.51,80.55,-26.63,79,11.12,0
135,Iznoski,54.99,35.31,29.1,98,8.88,100
136,Thompson,55.74,-97.86,-2.2,84,2.24,90
137,Comodoro Rivadavia,-45.87,-67.5,78.8,26,11.41,0
138,Vaini,-21.2,-175.2,75.2,88,8.05,75
139,Bathsheba,13.22,-59.52,86.0,66,14.99,40
140,Manta,-0.95,-80.73,80.6,69,9.17,20
141,Ribeira Grande,38.52,-28.7,64.4,88,20.8,40
142,Constitución,-35.33,-72.42,68.0,44,14.9,0
143,Severo-Kuril'sk,50.68,156.12,28.29,89,2.24,93
144,Charters Towers,-20.1,146.27,75.04,92,8.21,78
145,Brownwood,31.71,-98.99,44.6,42,8.05,1
146,Chara,56.91,118.26,-11.45,75,2.44,42
147,Souillac,-20.52,57.52,77.0,94,10.29,75
148,Cabo San Lucas,22.89,-109.91,74.35,56,5.82,5
149,Borovoy,55.43,86.08,10.4,85,11.18,90
150,Luganville,-15.53,167.17,78.8,88,6.26,75
151,Kampot,10.62,104.18,77.0,88,2.24,40
152,Lompoc,34.64,-120.46,61.47,33,5.82,1
153,Saint-Philippe,-21.36,55.77,73.42,83,2.24,0
154,Ballymena,54.86,-6.28,46.02,93,10.29,90
155,Beringovskiy,63.05,179.32,15.33,97,9.93,100
156,Grand Gaube,-20.01,57.66,78.01,84,5.01,36
157,Vardø,70.37,31.11,26.6,58,23.04,75
158,Philadelphia,39.95,-75.16,29.64,86,18.34,90
159,Codrington,-38.27,141.97,57.25,96,4.03,59
160,Tasiilaq,65.61,-37.64,24.8,49,24.16,75
161,Jamestown,42.1,-79.24,25.57,58,13.87,90
162,Kez,57.9,53.72,17.04,97,5.7,100
163,Agboville,5.93,-4.21,76.73,93,2.86,99
164,Pauini,-7.71,-66.98,91.47,43,3.71,27
165,Ierapetra,35.01,25.74,61.0,70,12.64,3
166,Provideniya,64.38,-173.3,13.42,94,20.76,40
167,Ahipara,-35.17,173.17,59.77,80,8.19,13
168,Kempsey,-31.08,152.83,71.01,91,5.01,93
169,Esperance,-33.87,121.9,57.2,71,5.82,90
170,Punta Alta,-38.88,-62.07,78.26,27,11.72,0
171,São João da Barra,-21.64,-41.05,86.0,58,23.04,0
172,Atar,20.52,-13.05,73.89,21,10.16,0
173,Tougue,11.47,-11.6,79.02,37,3.36,100
174,Mayumba,-3.43,10.66,78.08,89,9.62,100
175,Barrow,71.29,-156.79,-7.6,76,27.51,1
176,Avila,40.58,-5.0,43.0,90,1.52,100
177,Honningsvåg,70.98,25.97,28.4,68,21.92,75
178,Santa Elena,-2.23,-80.85,78.8,74,11.41,20
179,Vila Velha,-20.33,-40.29,83.55,66,18.34,20
180,Aklavik,68.22,-135.01,-18.4,75,8.05,20
181,Saint-Joseph,-21.37,55.62,77.0,83,2.24,0
182,Nizwá,22.93,57.53,56.68,42,2.15,0
183,Skibbereen,51.55,-9.27,41.0,93,10.29,20
184,George Town,5.41,100.34,77.0,94,2.24,20
185,Netivot,31.42,34.59,55.42,100,1.99,100
186,Namatanai,-3.67,152.43,80.24,80,5.44,100
187,Nikolskoye,59.7,30.79,31.32,99,8.95,90
188,Sungai Penuh,-2.08,101.38,64.18,90,2.13,100
189,Guerrero Negro,27.98,-114.06,65.84,26,1.1,0
190,Maningrida,-12.07,134.27,78.46,85,4.88,99
191,Te Anau,-45.42,167.72,50.49,93,4.88,99
192,Hualmay,-11.1,-77.61,74.14,67,10.54,71
193,Puqi,29.72,113.88,38.07,73,3.83,91
194,Semnan,35.57,53.4,40.95,66,2.73,83
195,Saint George,37.1,-113.58,40.59,43,0.98,1
196,Korla,41.76,86.15,19.36,85,2.89,25
197,Shakawe,-18.37,21.85,72.52,74,8.81,99
198,Grindavik,63.84,-22.43,37.4,67,12.75,0
199,Maragogi,-9.01,-35.22,81.07,71,11.52,5
200,Vao,-22.67,167.48,75.29,73,20.87,2
201,Abnūb,27.27,31.15,60.8,41,8.05,0
202,Touros,-5.2,-35.46,86.0,62,19.46,20
203,Samarai,-10.62,150.67,81.25,67,3.13,47
204,Saint Paul Harbor,57.79,-152.41,21.2,85,4.7,1
205,Port Elizabeth,-33.92,25.57,66.2,88,4.7,0
206,Anadyr,64.75,177.48,21.09,79,26.84,100
207,De-Kastri,51.47,140.78,2.37,89,21.16,100
208,Solwezi,-12.17,26.39,64.29,95,4.99,100
209,Antofagasta,-23.65,-70.4,71.15,60,12.75,20
210,Portland,45.52,-122.68,47.19,81,14.99,90
211,Tessalit,20.2,1.01,74.86,21,8.28,0
212,Buala,-8.14,159.59,80.64,79,4.56,41
213,Hambantota,6.12,81.12,73.4,100,3.36,0
214,Hervey Bay,-25.3,152.85,78.01,81,3.0,100
215,Neyshabur,36.21,58.8,40.17,66,1.68,100
216,Olafsvik,64.89,-23.71,35.67,85,25.97,89
217,Mitsamiouli,-11.38,43.28,82.83,69,7.05,95
218,Wonthaggi,-38.6,145.59,60.31,92,6.13,63
219,Qūchān,37.11,58.51,35.74,78,3.22,100
220,Westport,41.14,-73.36,26.31,33,12.75,1
221,Kavieng,-2.57,150.8,83.44,74,8.46,100
222,Geraldton,-28.77,114.6,68.0,77,21.92,90
223,Lázaro Cárdenas,17.96,-102.2,81.93,59,6.71,0
224,Esmeralda,21.85,-78.12,82.4,61,10.29,40
225,Iqaluit,63.75,-68.51,5.0,71,17.22,75
226,Pāsighāt,28.07,95.33,62.13,46,2.57,98
227,Muroto-misakicho,33.28,134.15,42.3,65,16.71,0
228,Bourail,-21.57,165.48,73.15,74,3.06,0
229,Margate,51.38,1.39,49.42,81,5.01,100
230,Mahibadhoo,3.78,72.97,82.24,73,9.42,26
231,Nichinan,31.6,131.37,33.01,74,10.0,0
232,Tuatapere,-46.13,167.68,50.0,93,2.08,61
233,Kletskaya,49.31,43.06,21.99,82,4.7,3
234,New Norfolk,-42.78,147.06,51.33,85,1.52,100
235,New Glasgow,45.58,-62.65,19.4,85,28.86,47
236,Babati,-4.22,35.75,69.51,71,1.9,100
237,Hīt,33.64,42.83,58.91,66,2.77,46
238,Hirara,24.8,125.28,65.26,82,30.98,95
239,Roura,4.73,-52.33,82.4,74,6.93,100
240,Carnarvon,-24.87,113.63,71.6,83,20.8,0
241,Taoudenni,22.68,-3.98,72.03,20,8.59,0
242,Aktau,43.65,51.2,28.4,68,13.42,0
243,Khatanga,71.97,102.5,-32.57,82,2.59,23
244,Cienfuegos,22.15,-80.44,86.0,58,2.24,20
245,Waipawa,-41.41,175.52,59.0,82,13.87,69
246,Boa Vista,2.82,-60.67,91.4,46,9.17,40
247,Monrovia,6.3,-10.8,82.4,83,3.36,75
248,Puerto Escondido,15.85,-97.07,84.2,70,4.7,5
249,Huilong,31.81,121.66,39.02,68,8.79,52
250,Alofi,-19.06,-169.92,77.0,88,5.82,100
251,Suntar,62.14,117.63,-14.44,87,7.7,100
252,Hithadhoo,-0.6,73.08,81.99,70,6.89,11
253,Lebu,-37.62,-73.65,58.86,61,19.44,0
254,Burgeo,47.62,-57.62,26.31,91,33.98,0
255,Kruisfontein,-34.0,24.73,68.0,70,1.99,3
256,Port Hardy,50.7,-127.42,45.3,87,24.16,90
257,Praia,14.92,-23.51,75.2,60,20.8,75
258,Esim,4.87,-2.24,78.82,84,6.89,100
259,Chicama,-7.84,-79.15,68.0,82,11.41,20
260,Tokmak,47.25,35.71,29.64,97,5.06,0
261,Byron Bay,-28.65,153.62,71.78,94,5.82,75
262,Terra Santa,-2.1,-56.49,85.37,65,2.17,99
263,Sioux Lookout,50.1,-91.92,19.4,85,9.17,90
264,Meulaboh,4.14,96.13,76.14,87,2.59,100
265,Tiksi,71.69,128.87,-13.41,89,4.47,100
266,Kununurra,-15.77,128.73,82.4,83,2.24,100
267,Road Town,18.42,-64.62,80.94,74,5.82,40
268,Katsuura,35.13,140.3,37.4,64,11.41,20
269,Mehamn,71.04,27.85,28.4,68,21.92,75
270,Marystown,47.17,-55.15,30.4,89,37.54,26
271,Juli,-16.22,-69.45,54.63,42,9.26,81
272,Songea,-10.68,35.65,75.2,78,5.82,75
273,Port Lincoln,-34.73,135.87,58.68,75,13.58,100
274,Acapulco de Juárez,16.86,-99.89,84.2,58,10.29,75
275,Kapaa,22.08,-159.32,73.26,88,14.99,75
276,Husavik,66.04,-17.34,35.6,80,14.99,90
277,Saint-Augustin,51.23,-58.65,14.95,89,26.62,100
278,Mount Isa,-20.73,139.5,82.4,54,10.29,100
279,Doha,25.29,51.53,70.68,73,4.7,0
280,Bria,6.54,21.99,77.59,25,2.71,100
281,Mikuni,36.22,136.15,33.8,86,11.41,75
282,Sloboda,51.14,40.3,14.59,97,2.33,11
283,Djebeniana,35.03,10.91,59.0,87,5.14,20
284,Baykit,61.67,96.37,-16.91,84,2.91,100
285,Petropavlovsk-Kamchatskiy,53.05,158.65,26.6,100,6.71,90
286,Cumana,10.46,-64.18,86.0,62,16.11,20
287,Verkhnechusovskiye Gorodki,58.17,57.11,18.84,96,7.45,100
288,Kiama,-34.68,150.87,70.41,94,1.99,89
289,Vallenar,-28.57,-70.76,84.92,27,10.31,0
290,San Patricio,28.02,-97.52,57.09,33,16.11,1
291,Rio Grande,-32.03,-52.1,78.39,69,10.29,75
292,Puteyets,65.17,57.09,10.71,95,9.28,100
293,Diego de Almagro,-26.37,-70.05,83.34,16,14.81,0
294,Ekhabi,53.51,142.97,19.38,95,18.48,100
295,Hofn,64.25,-15.21,41.0,75,16.11,90
296,Chumikan,54.72,135.31,-10.44,79,24.45,95
297,Yantal',56.85,105.25,-11.45,86,7.43,100
298,Bouna,9.27,-3.0,87.75,32,2.55,4
299,Cidreira,-30.18,-50.21,76.24,82,13.06,100
300,Tezpur,26.63,92.8,60.39,80,2.08,5
301,Haines Junction,60.75,-137.51,6.8,92,1.23,100
302,Asău,46.43,26.4,33.01,100,2.89,100
303,Seoul,37.57,126.98,12.02,66,1.83,1
304,Guáimaro,21.05,-77.35,82.4,61,10.29,40
305,Rive-de-Gier,45.53,4.62,52.38,76,9.17,75
306,Broken Hill,-31.95,141.43,71.6,49,4.7,0
307,Jacqueville,5.21,-4.41,78.8,100,2.24,40
308,Sept-Îles,50.2,-66.38,11.75,51,14.99,0
309,Ixtapa,20.7,-105.2,78.8,57,5.39,5
310,Saint Anthony,45.02,-93.22,27.9,53,9.17,90
311,Valley City,46.92,-98.0,28.4,92,16.11,40
312,San Cristobal,7.77,-72.22,84.2,62,6.93,40
313,Moshupa,-24.78,25.42,69.8,83,6.93,40
314,Bariloche,-41.15,-71.31,75.43,11,16.11,0
315,Los Negros,-17.73,-63.43,90.5,59,18.34,75
316,Garwolin,51.9,21.61,39.65,49,3.4,100
317,Bac Lieu,9.29,105.72,78.15,83,16.17,99
318,Horizontina,-27.63,-54.31,78.19,71,8.48,100
319,Mbini,1.57,9.61,80.6,88,3.36,40
320,Sokoto,13.06,5.24,78.78,17,9.22,0
321,Egvekinot,66.32,-179.17,8.15,93,11.56,100
322,Necochea,-38.55,-58.74,73.99,47,16.71,0
323,Sasso Marconi,44.4,11.25,44.56,93,1.12,75
324,Ketchikan,55.34,-131.65,38.25,92,2.84,100
325,Jackson,42.42,-122.83,42.13,87,3.11,90
326,Banjar,-8.19,114.97,78.8,88,6.93,40
327,Concarneau,47.88,-3.92,49.08,93,3.36,98
328,Muravlenko,63.79,74.52,0.09,94,10.78,100
329,Mulchén,-37.72,-72.23,80.6,24,12.75,0
330,Lata,40.16,-8.33,49.14,87,5.82,40
331,Esso,55.93,158.7,7.21,88,1.77,80
332,Alta,69.97,23.27,26.6,58,9.17,75
333,Chernogorsk,53.82,91.28,12.2,85,4.47,100
334,Pamanukan,-6.28,107.81,77.22,86,3.4,100
335,Mahébourg,-20.41,57.7,77.0,94,10.29,75
336,Klaksvík,62.23,-6.59,46.4,81,16.11,100
337,Ontario,34.06,-117.65,64.78,14,3.36,20
338,Santo Ângelo,-28.3,-54.26,84.2,62,11.41,20
339,Bethel,41.37,-73.41,24.01,46,7.23,100
340,Cedar City,37.68,-113.06,26.6,58,4.12,1
341,Vendas Novas,38.68,-8.46,53.91,82,11.41,20
342,Bengkulu,-3.8,102.27,76.14,84,9.51,99
343,Mar del Plata,-38.0,-57.56,82.4,24,14.99,0
344,Māngrol,21.12,70.12,66.7,58,14.74,0
345,Muisne,0.6,-80.03,82.4,78,10.29,75
346,Warri,5.52,5.75,79.36,84,7.29,0
347,Kudahuvadhoo,2.67,72.89,81.7,72,6.26,81
348,Barcelos,41.54,-8.62,49.32,81,4.7,20
349,Nālūt,30.33,10.85,59.43,32,11.48,98
350,Troitsko-Pechorsk,62.71,56.2,11.08,96,5.53,100
351,Shelburne,44.08,-80.2,16.21,85,16.06,100
352,Kupang,-10.17,123.58,80.71,81,7.47,55
353,Molina,-35.12,-71.28,92.1,23,6.93,0
354,Pratāpgarh,24.03,74.78,59.27,52,13.47,0
355,Buraidah,26.33,43.98,64.4,93,6.93,75
356,Nanortalik,60.14,-45.24,31.35,87,16.13,100
357,Bossangoa,6.49,17.46,79.18,20,3.33,33
358,Tigil',57.8,158.67,16.93,93,8.34,100
359,Kintinku,-5.88,35.23,78.8,47,9.17,20
360,Huarmey,-10.07,-78.15,74.53,67,10.4,23
361,Kiryat Gat,31.61,34.76,55.62,100,2.55,100
362,Ulaangom,49.98,92.07,-12.21,86,1.7,0
363,Wilmington,34.23,-77.94,57.2,87,5.7,75
364,Victor Harbor,-35.57,138.62,57.99,90,1.01,100
365,Chiang Rai,19.92,99.92,66.11,100,2.24,0
366,Bilma,18.69,12.92,66.24,26,5.1,0
367,Caconda,-13.73,15.07,64.51,58,7.65,22
368,Opuwo,-18.06,13.84,72.57,39,9.86,4
369,Mineiros,-17.57,-52.55,86.43,50,8.68,85
370,Ambilobe,-13.2,49.05,77.0,84,1.81,4
371,Laguna,38.42,-121.42,49.21,100,3.36,75
372,Coari,-4.08,-63.14,90.23,51,2.19,25
373,Flinders,-34.58,150.86,71.15,94,1.99,92
374,Rome,43.21,-75.46,20.52,53,9.17,1
375,Zeya,53.75,127.27,-13.86,83,0.2,0
376,Alice Springs,-23.7,133.88,82.49,32,4.7,100
377,George,-33.96,22.46,64.4,77,3.36,20
378,Gouré,13.98,10.27,75.99,20,5.01,34
379,Saint Joseph,39.77,-94.85,25.3,79,6.93,90
380,Al Bardīyah,31.76,25.09,60.89,79,10.89,14
381,Kieta,-6.22,155.63,79.72,79,3.98,100
382,Ternate,0.8,127.4,81.93,80,13.18,100
383,Somerset East,-32.72,25.59,62.08,79,6.93,0
384,Warmbad,-28.45,18.73,82.18,23,17.96,0
385,Fortuna,40.6,-124.16,59.45,81,5.99,100
386,Visnes,59.36,5.22,48.36,81,17.22,100
387,Berlevåg,70.86,29.09,21.2,85,5.82,75
388,Sayansk,54.11,102.16,-11.43,89,2.15,0
389,Urusha,54.05,122.9,-14.28,83,2.19,100
390,Menongue,-14.66,17.69,69.66,59,2.44,82
391,Narsaq,60.92,-46.05,37.4,34,38.03,75
392,São Filipe,14.9,-24.5,74.21,73,11.27,100
393,Kumul,42.8,93.45,14.0,75,1.28,0
394,Chingirlau,51.09,54.08,25.34,96,11.36,100
395,Les Escoumins,48.11,-69.02,6.69,84,25.28,96
396,Tazovsky,67.47,78.7,-3.78,92,14.54,100
397,Jalu,29.03,21.55,56.19,74,5.57,0
398,Keti Bandar,24.14,67.45,60.82,33,14.72,0
399,Yumen,40.28,97.2,11.5,81,7.25,1
400,Shizuishan,39.23,106.77,15.08,72,1.74,100
401,‘Āhuimanu,21.44,-157.84,75.94,83,9.17,75
402,Itarema,-2.92,-39.92,84.2,66,14.81,100
403,La Santisima Trinidad,-14.83,-64.9,86.0,74,4.7,40
404,Qaryat Sulūq,31.67,20.25,58.84,79,5.68,3
405,Catumbela,-12.43,13.55,73.08,79,3.8,86
406,Vanavara,60.34,102.28,-13.97,87,7.85,97
407,Terney,45.05,136.61,3.31,79,10.92,0
408,Whitehorse,60.72,-135.05,2.84,84,4.7,90
409,Fairbanks,64.84,-147.72,1.42,45,14.99,90
410,Leek,53.16,6.38,44.51,100,4.7,20
411,Gorontalo,0.54,123.06,76.08,88,4.23,100
412,Idrinskoye,54.37,92.14,5.38,93,3.09,100
413,Karasjok,69.47,25.51,24.8,58,12.75,40
414,Yar-Sale,66.83,70.83,6.44,94,17.16,100
415,Santa Isabel Rio Negro,-0.41,-65.02,90.09,55,3.83,33
416,Varhaug,58.61,5.65,46.33,81,14.99,75
417,Kasongo-Lunda,-6.47,16.82,72.36,89,1.7,100
418,Teguise,29.06,-13.56,69.8,68,10.29,40
419,Cuenca,-2.88,-78.98,69.8,49,5.82,75
420,Coquimbo,-29.95,-71.34,60.8,72,16.11,40
421,Luleå,65.58,22.15,24.8,92,10.29,40
422,Khani,41.96,42.96,51.8,93,14.99,90
423,Ust-Nera,64.57,143.2,-26.1,76,3.29,99
424,Umluj,25.02,37.27,70.12,56,10.76,0
425,Mama,58.31,112.9,-7.69,83,6.58,100
426,Nishihara,26.18,127.76,59.88,62,12.75,90
427,Bolitoc,15.74,119.88,76.71,74,3.53,21
428,Kenai,60.55,-151.26,14.77,92,4.68,1
429,Phetchaburi,12.97,99.58,79.0,99,2.68,100
430,Bondo,3.81,23.69,77.0,40,2.98,26
431,Rock Sound,24.9,-76.2,77.07,79,14.74,0
432,Toamasina,-18.17,49.38,77.0,88,2.13,20
433,Poum,-20.23,164.02,78.03,72,18.75,100
434,Canala,-21.53,165.95,68.0,82,4.61,0
435,Chapais,49.78,-74.85,-9.4,76,5.82,1
436,Bilibino,68.05,166.44,-6.63,87,5.84,3
437,Daru,-9.08,143.21,78.53,87,6.17,100
438,Shurugwi,-19.67,30.01,63.0,100,10.67,100
439,Maniitsoq,65.42,-52.9,26.51,82,5.93,46
440,Channel-Port aux Basques,47.57,-59.14,24.8,95,35.03,88
441,Vostok,46.49,135.88,-15.03,90,5.79,94
442,Callaway,30.15,-85.57,65.97,82,9.17,75
443,Rotenburg,53.12,9.4,45.63,66,5.99,43
444,Mayo,38.89,-76.51,32.74,100,11.41,90
445,Bonavista,48.65,-53.11,26.6,79,18.34,100
446,Naze,28.37,129.48,59.0,62,18.34,75
447,Lishui,28.46,119.91,38.52,74,1.43,100
448,Tsiroanomandidy,-18.77,46.03,72.64,77,1.68,1
449,‘Ewa Beach,21.32,-158.01,75.72,83,5.82,40
450,Ouésso,1.61,16.05,80.65,57,1.5,3
451,Esmeraldas,-19.76,-44.31,86.9,48,8.05,40
452,Broome,42.25,-75.83,23.05,67,13.87,90
453,Peniche,39.36,-9.38,54.68,75,7.0,5
454,Raudeberg,61.99,5.14,44.01,84,13.89,100
455,Rosario,-32.95,-60.64,84.2,25,10.29,0
456,Gamba,-2.65,10.0,76.3,89,5.19,100
457,Mpulungu,-8.76,31.11,74.91,67,2.59,100
458,Ouro Preto do Oeste,-10.75,-62.22,92.03,56,0.74,80
459,Bauchi,10.5,10.0,73.94,21,6.49,0
460,Abaza,52.66,90.09,14.18,94,3.74,100
461,Øksfjord,70.24,22.35,27.52,50,8.05,40
462,Santhià,45.37,8.17,43.68,86,2.93,79
463,Woodward,36.43,-99.39,28.81,73,8.05,1
464,Santarém,-2.44,-54.71,80.6,83,4.7,75
465,Tocopilla,-22.09,-70.2,70.95,51,5.61,25
466,Navlya,52.83,34.5,29.79,98,7.27,100
467,Soligalich,59.08,42.29,21.16,97,7.99,100
468,Nome,64.5,-165.41,19.4,73,16.11,90
469,The Valley,18.22,-63.06,82.63,74,10.29,20
470,Linxia Chengguanzhen,35.6,103.21,20.01,88,0.45,100
471,Traian,46.63,27.03,39.2,93,8.05,90
472,Koumac,-20.57,164.28,75.69,72,6.06,100
473,Jutaí,-5.18,-68.9,86.92,66,4.16,81
474,Kourou,5.16,-52.65,82.4,74,6.93,100
475,Misratah,32.38,15.09,61.56,65,9.24,41
476,Gorin,51.2,136.67,-4.07,86,1.95,97
